№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|Транспортные средства проедут перекресток в следующей последовательности:|Легковому автомобиль, автобус, тролейбус.|Тролейбус и автобус, легковой автомобиль.|Тролейбус, легковой автомобиль, автобус.|||3
2|Перекресток первым проедет:|Красный автомобиль.|Синий автомобиль.|Желтый автомобиль.|Зеленый автомобиль.||4
3|Перекресток последним проедет:|Синий автомобиль.|Зеленый автомобиль.|Красный автомобиль.|||1
4|Синий автомобиль проедет перекресток:|Первым.|Вторым.||||1
5|В каком ответе правильно указана очередность проезда перекрестка?|Автобус, легковой автомобиль, велосипед.|Легковой автомобиль, автобус, велосипед.|Велосипед, автобус, легковой автомобиль.|||3
6|Перекресток вторым проедет:|Трамвай.|Красный автомобиль.|Синий автомобиль.|||1
7|В каком направлении движение запрещено?|Направо, в первый проезд.|Направо, во второй проезд.|Направо, в первый и второй проезды.|||2
8|Перекресток вторым проедет:|Зеленый автомобиль.|Красный автомобиль.|Синий автомобиль.|||2
9|Перекресток вторым проедет:|Синий автомобиль.|Зеленый автомобиль.|Красный автомобиль.|||1
10|Перекресток вторым проедет:|Белый автомобиль одновременно с желтым.|Красный автомобиль.|Зеленый автомобиль.|||2
11|Перекресток последним проедет:|Синий автомобиль.|Желтый автомобиль.|Зеленый автомобиль.|Красный автомобиль.||3
12|Водитель какого транспортного средства должен уступить дорогу?|Велосипедист.|Водитель автомобиля.||||2
13|Перекресток первым проедет:|Зеленый автомобиль.|Синий автомобиль.|Красный автомобиль.|Желтый автомобиль.||3
14|В каком порядке транспортные средства проедут перекресток?|Мотоцикл, автомобиль, трамвай.|Трамвай автомобиль, мотоцикл.|Трамвай, мотоцикл, автомобиль.|||1
15|Перекресток вторым проедет:|Красный автомобиль.|Синий автомобиль.|Зеленый автомобиль.|||2
16|Перекресток последним проедет:|Зеленый автомобиль.|Синий автомобиль.|Красный автомобиль.|||3
17|Какой автомобиль последним проедет перекресток?|Синий.|Красный.|Зеленый.|||2
18|Перекресток первым проедет:|Зеленый автомобиль.|Красный автомобиль.|Синий автомобиль.|||1
19|Водитель какого транспортного средства должен уступить дорогу?|Водитель автобуса.|Водитель мотоцикла.||||1
20|Перекресток первым проедет:|Красный автомобиль.|Зеленый автомобиль.|Синий автомобиль.|||3
21|Перекресток вторым проедет:|Синий автомобиль.|Зеленый автомобиль.|Красный автомобиль.|||1
22|Перекресток третьим проедет:|Синий автомобиль.|Желтый автомобиль.|Зеленый автомобиль.|Красный автомобиль.||2
23|Красный автомобиль:|Имеет преимущество в движении, так как приблизился к перекрестку с круговым движением с правой стороны синего автомобиля.|Должен уступить дорогу синему автомобилю, движущемуся по дороге с круговым движением.||||2
24|Автомобили проедут перекресток в следующем порядке:|Желтый, зеленый, синий.|Синий одновременно с зеленым, желтый.||||2
25|Перекресток третьим проедет:|Желтый автомобиль.|Красный автомобиль.|Синий автомобиль.|Зеленый автомобиль.||3
26|Перекресток первым проедет:|Зеленый автомобиль.|Синий автомобиль.|Красный автомобиль.|||3
27|Транспортные средства проедут перекресток в следующей последовательности:|Красный, зеленый, синий, черный.|Зеленый, красный, черный, синий.|Зеленый, красный, синий, черный.|||1
28|Транспортные средства проедут перекресток в следующей последовательности:|Трамвай, желтый автомобиль, зеленый автомобиль.|Трамвай и зеленый автомобиль, желтый автомобиль.|Зеленый автомобиль, желтый автомобиль, трамвай.|||2
29|Кто из водителей имеет преимущество на первоочередное движение?|Водитель мотоцикла.|Водитель автомобиля.||||2
30|Перекресток вторым проедет:|Красный автомобиль.|Синий автомобиль.|Зеленый автомобиль.|||3
31|Водитель какого транспортного средства должен уступить дорогу?|Водитель трамвая.|Водитель грузового автомобиля.|Водители автомобилей.|||3
32|Красный автомобиль проедет перекресток:|Первым.|Вторым.||||1
33|Транспортные средства проедут перекресток в следующей последовательности:|Легковой автомобиль, автобус, велосипед.|Автобус, велосипед, легковой автомобиль.|Автобус, легковой автомобиль, велосипед.|Велосипед, автобус, легковой автомобиль.||4
34|Водитель какого транспортного средства имеет право на первоочередное движение?|Водитель автомобиля.|Велосипедист.||||2
35|Транспортные средства проедут перекресток в следующей последовательности:|Трамвай, автомобиль и автобус одновременно.|Трамвай, автобус, автомобиль.|Автобус, трамвай, автомобиль.|||1
36|Водитель какого транспортного средства должен уступить дорогу?|Водитель синего автомобиля.|Водитель красного автомобиля.||||1
37|Водитель какого транспортного средства должен уступить дорогу?|Водитель автомобиля.|Водитель мотоцикла.||||2
38|Водитель какого транспортного средства правильно въезжает на перекресток с круговым движением?|Оба водителя.|Только водитель автобуса.|Только водитель легкового автомобиля.|||1
39|Какое транспортное средство имеет право на первоочередное движение?|Красный автомобиль, так как он въезжает на перекресток с круговым движением справа от синего автомобиля.|Синий автомобиль, так как он едет по дороге с круговым движением.||||2
40|Укажите очередность проезда перекрестка:|Синий, красный одновременно с зеленым.|Красный, синий, зеленый.|Красный одновременно с зеленым, синий.|||3
41|Водитель зеленого автомобиля:|Имеет право на первоочередное движение.|Должен уступить дорогу.||||1
42|Перекресток последним проедет:|Красный автомобиль.|Синий автомобиль.|Зеленый автомобиль.|||3
43|Перекресток вторым проедет:|Зеленый автомобиль.|Красный автомобиль одновременно с синим.|Желтый автомобиль.|||2
44|Автомобили проедут перекресток в следующем порядке:|Синий, зеленый, красный.|Красный, синий, зеленый.|Зеленый, красный, синий.|||2
45|Перекресток вторым проедет:|Зеленый автомобиль.|Синий автомобиль.|Красный автомобиль.|||1
46|Красный автомобиль проедет перекресток:|Вторым, одновременно с синим.|Вторым, после желтого.|Третьим, после зеленого и желтого.|||1
47|Желтый автомобиль проедет перекресток:|Первым.|Вторым.|Третьим.|Последним.||4
48|В каком ответе правильно указана очередность проезда?|Мотоцикл, автобус, грузовой автомобиль.|Автобус, мотоцикл, грузовой автомобиль.|Автобус, грузовой автомобиль, мотоцикл.|||1
49|Транспортные средства проедут перекресток в следующей последовательности:|Легковой автомобиль, автобус, трамвай.|Трамвай, автобус, легковой автомобиль.|Трамвай, легковой автомобиль, автобус.|||3
50|Водитель какого транспортного средства должен уступить дорогу?|Водитель легкового автомобиля.|Водитель автобуса.||||2
51|Какое транспортное средство должно уступить дорогу?|Синий автомобиль.|Красный автомобиль.||||2
52|Транспортные средства проедут перекресток в следующей последовательности:|Желтый автобус, грузовой автомобиль, зеленый автобус.|Грузовой автомобиль, желтый автобус, зеленый автобус.|Желтый автобус, зеленый автобус, грузовой автомобиль.|||2
53|Транспортные средства проедут перекресток в следующей последовательности:|Автобус, легковой автомобиль и грузовой автомобиль одновременно.|Легковой автомобиль и грузовой автомобиль одновременно, автобус.||||1
54|В какой последовательности транспортные средства проедут перекресток, если светофоры не работают:|Троллейбус и мотоцикл, автобус и легковой автомобиль.|Мотоцикл, автобус и легковой автомобиль, троллейбус.|Автобус и легковой автомобиль, троллейбус и мотоцикл.|||2
55|Транспортные средства проедут перекресток в следующей последовательности:|Грузовой автомобиль, трамвай и автобус, мотоцикл и легковой автомобиль.|Трамвай и автобус, мотоцикл и легковой автомобиль, грузовой автомобиль.||||1
56|Транспортные средства проедут перекресток в следующей последовательности:|Автомобиль "Скорой помощи", трамвай, мотоцикл, автобус, легковой автомобиль.|Мотоцикл, автобус, трамвай и автомобиль "Скорой помощи", легковой автомобиль.||||2
57|Транспортные средства проедут перекресток в следующей последовательности:|Грузовой автомобиль и мотоцикл, автобус, троллейбус.|Грузовой автомобиль и автобус, мотоцикл, троллейбус.||||1
58|Транспортные средства проедут перекресток в следующей последовательности:|Грузовой автомобиль, легковой автомобиль, автобус, автоцистерна.|Грузовой автомобиль, автобус, легковой автомобиль, автоцистерна.||||1
59|Легковой автомобиль проедет перекресток:|Первым.|Вторым, после автобуса.|Третьим.|||2
60|Транспортные средства проедут перекресток в следующей последовательности:|Легковой автомобиль, автобус, грузовой автомобиль.|Автобус, грузовой автомобиль, легковой автомобиль.|Автобус, легковой автомобиль, грузовой автомобиль.|||2
61|Транспортные средства проедут перекресток в следующей последовательности:|Грузовой автомобиль, легковой автомобиль, автобус.|Автобус, грузовой автомобиль, легковой автомобиль.|Автобус, легковой автобус, грузовой автобус.|||1
62|Могут ли одновременно выполнить поворот налево на этом перекрестке?|Да.|Нет. Должен уступить водитель легкового автомобиля.|Нет. Должен уступить водитель грузового автомобиля.|||1
63|Кому Вы обязаны уступить дорогу в данной ситуации?|Только автобусу.|Легковому автомобилю.|Никому.|||3
64|При выполнении поворота налево в этой ситуации:|Вы проедете перекресток первыми.|Уступите дорогу водителю грузового автомобиля.||||1
65|При выполнении поворота направо в этой ситуации:|Вы проедете перекресток первыми.|Уступите дорогу водителю грузового автомобиля.||||1
66|При продолжении движения прямо:|Вы проедете перекресток первыми.|Проедете после легкового автомобиля.||||2
67|При выполнении разворота в данной ситуации необходимо уступить дорогу:|Легковому автомобилю.|Обоим водителям.||||1
68|При проезде перекрестка в данной ситуации не создавать препятствий для пешеходов:|Обязаны.|Не обязаны.||||1
69|В условиях образовавшейся пробки непосредственно после перекрестка, разрешается въезжать на перекресток только:|Если продолжим движение прямо.|Если выполним поворот или разворот.|Во всех перечисленных случаях.|||2
70|Мы обязаны уступить дорогу:|Водителю мотоцикла.|Легковому автомобилю.|Никому.|||3
71|При выполнении поворота налево в данной ситуации мы обязаны уступить дорогу:|Водителю легкового автомобиля.|Водителю автобуса.|Никому.|||3
72|Мы обязаны уступить дорогу:|Только водителю трамвая.|Водителю грузового автомобиля.|Обоим водителям.|||3
73|Дорогу следует уступить:|Водителю автобуса.|Обоим водителям.|Никому.|||3
74|В данной ситуации при проезде перекрестка уступить дорогу:|Обязаны.|Не обязаны.||||2
75|В данной ситуации при проезде перекрестка:|Имеем право проехать первыми.|Должны уступить водителю трамвая.|Должны уступить водителю грузового автомобиля.|Должны уступить всем водителям.||1
76|При въезде круговым движением на перекресток, оборудованный знаком "Круговое движение", водитель транспортного средства:|Обязан уступить дорогу транспортным средствам, движущимся по этому перекрестку.|Имеет преимущество движения по отношению к движущимся по этому перекрестку.||||1
77|В данной ситуации при повороте налево мы обязаны уступить дорогу:|Всем водителям.|Только водителю легкового автомобиля.|Водителям автобуса и легкового автомобиля.|||3
78|Какой водитель обязан не препятствовать пешеходам?|Водитель легкового автомобиля.|Водитель грузового автомобиля.|Оба водителя.|||3
79|В данной ситуации может ли водитель выполнить поворот налево?|Да.|Да, если не создаст препятствия для водителя грузового автомобиля.|Нет.|||2
80|В данной ситуации при выполнении поворота налево водитель:|Должен уступить дорогу.|Проедет перекресток первым.||||1
81|Знаки информируют, что:|Через 200 метров будет необходимость уступать дорогу пересекающему.|На 200-метровом участке должны всем уступать.||||1
82|При повороте налево во второй проезд водитель:|Имеет преимущество.|Должен уступить другим водителям.|Должны уступить водителю автобуса.|||3
83|При проезде перекрестка прямо водитель:|Может проехать первым.|Должен уступить трамваю.|Должен уступить обоим водителям.|||2
84|При выполнении поворота налево кому водитель обязан уступить?|Водителю автобуса.|Водителю легкового автомобиля.|Никому.|||1
85|При въезде на этот перекресток водитель:|Имеет право на первоочередное движение.|Должен уступить грузовому автомобилю.|Должен уступить обоим водителям.|||3
86|При выполнении поворота налево кому водитель обязан уступить?|Обоим водителям.|Водителю легкового автомобиля.|Водителю автобуса.|||1
87|В данной ситуации мы обязаны уступить:|Обоим водителям.|Только встречному грузовому автомобилю.||||1
88|При выполнении поворота налево:|Вы проедете перекресток первыми.|Уступите дорогу.||||1
89|При данной ситуации поворот направо выполняем,|Проезжая перекресток первыми.|Уступив дорогу водителю легкового автомобиля.|Уступив дорогу обоим водителям.|||1
90|При выполнении поворота направо:|Должны уступить дорогу.|Можем проехать первыми.||||2
91|При повороте налево Вы должны уступить дорогу:|Водителям автобуса и мотоцикла.|Водителю автобуса.|Всем.|||3
92|При выполнении поворота налево:|Проедете первыми одновременно с легковым автомобилем.|Проедете после мотоцикла.||||2
93|При движении прямо Вы обязаны уступить:|Обоим водителям.|Только легковому автомобилю.|Никому.|||1
94|Уступить трамваю:|Обязаны.|Не обязаны.||||1
95|В данной ситуации когда разрешается выполнить поворот направо?|Непосредственно.|Одновременно с проездом грузового автомобиля, если это не создает для него препятствия.|После проезда грузового автомобиля.|||2
96|При выполнении поворота налево Вы обязаны уступить дорогу:|Только водителю автобуса.|Обоим водителям.|Никому.|||1
97|Кто первым проедет перекресток?|Водитель грузового автомобиля.|Водитель троллейбуса.|Правила в данном случае не регулируются. Водители проедут, проявляя взаимное уважение.|||3
98|Не препятствовать пешеходам водитель обязан:|Только при выполнении поворота налево.|Только при выполнении поворота направо.|В обоих случаях аналогично.|||3
99|При повороте направо Вы обязаны уступить дорогу:|Пешеходам и велосипедистам.|Только пешеходам.||||1
100|При выполнении поворота налево Вы обязаны уступить дорогу:|Только водителю легкового автомобиля.|Водителям легкового автомобиля и автобуса.|Никому.|||1
101|Когда водитель не может определить наличие покрытия на дороге (темное время суток, грязь, снег и т. д.), а знаки приоритета отсутствуют, то:|Он должен считать, что находитесь на второстепенной дороге.|Он должен руководствоваться правилами проезда перекрестка равнозначных дорог.||||1
102|В данной ситуации мы обязаны уступить дорогу:|Всем водителям.|Только водителю грузового автомобиля.|Только водителю легкового автомобиля.|||1
103|Мы обязаны уступить дорогу:|Водителю легкового автомобиля.|Водителям легкового автомобиля и автобуса.|Всем водителям.|||2
104|При выполнении разворота на этом перекрестке:|Первым выполните маневр.|Должны уступить другим водителям.||||2
105|В условиях желтого мигающего сигнала светофора, при проезде перекрестка прямо, мы обязаны:|Остановиться и подождать, пока не загорится зелёный разрешающий сигнал.|Уступить водителю легкового автомобиля.|Уступить водителю трамвая.|||2
106|При движении прямо:|Мы можем проехать перекресток первыми.|Должны уступить дорогу.||||2
107|При выполнении разворота кому Вы должны уступить дорогу?|Водителю грузового автомобиля.|Водителю легкового автомобиля.|Обоим водителям.|||1
108|При выполнении поворота налево уступить трамваю:|Обязаны.|Не обязаны.||||1
109|Уступить грузовому автомобилю, приближающемуся с дороги без покрытия, на этом перекрестке:|Обязаны, поскольку он приблизился к нам с правой стороны.|Не обязаны, поскольку дорога с твердым покрытием является главной по отношению к дороге без покрытия.||||2
110|В случае желтого мигающего сигнала светофора:|Мы должны подождать, пока не загорится зелёный сигнал.|Проедем перекресток, уступая водителю тележки.|Проедем перекресток одновременно с легковым автомобилем.|||2
111|При повороте налево мы обязаны уступить дорогу:|Водителю легкового автомобиля.|Водителю автобуса.|Водителю мотоцикла.|Никому.||4
112|В данной ситуации:|Обязаны уступить дорогу водителю грузового автомобиля.|Можем проехать перекресток одновременно с трамваем.||||1
113|При проезде перекрестка мы обязаны уступить:|Водителю мотоцикла.|Водителям мотоцикла и автобуса.|Водителям легкового автомобиля и автобуса.|Всем водителям.||4
114|В данной ситуации Вы должны уступить дорогу:|Только водителю трамвая.|Водителю легкового автомобиля.|Водителям легкового автомобиля и трамвая.|Всем водителям.||3
115|При выполнении поворота налево в данной ситуации:|Вы проедете перекресток первыми.|При въезде на перекресток уступите дорогу водителю мотоцикла, а затем завершите маневр.||||2
116|При проезде перекрестка прямо необходимо уступить дорогу:|Водителю грузового автомобиля.|Водителю легкового автомобиля.|Обоим водителям.|||3
117|В данной ситуации:|Вы проедете перекресток первыми.|Уступите дорогу водителю легкового автомобиля.|Уступите дорогу обоим водителям.|||2
118|Мы обязаны уступить:|Обоим водителям.|Водителю легкового автомобиля.|Водителю автобуса.|||1
119|Здесь перекресток:|Проедете первыми.|Уступите дорогу грузовому автомобилю.||||2
120|Уступить дорогу водителю трамвая:|Обязаны.|Не обязаны.||||1
121|При выполнении поворота налево следует уступить:|Водителю грузового автомобиля.|Обоим водителям.|Никому.|||1
122|На этом перекрестке:|Уступите дорогу.|Проедете первыми.||||2
123|Уступить трамваю:|Обязаны.|Не обязаны.||||1
124|В данной ситуации поворот направо разрешается:|Только после грузового автомобиля.|Одновременно с грузовым автомобилем, если это не создаст препятствия для водителя грузового автомобиля.||||2
125|При движении прямо следует уступить:|Водителю легкового автомобиля.|Всем.|Никому.|||1
126|В данной ситуации необходимо уступить:|Водителю автобуса.|Водителю грузового автомобиля.|Обоим водителям.|||3
127|На каком рисунке изображена главная дорога?|Только на левом.|На нижнем и левом.|На всех.|||2
128|На каком рисунке изображена главная дорога?|Только на правом.|На правом и нижнем.|На всех.|||2
129|На каком рисунке изображена главная дорога?|На верхнем левом.|На верхнем правом.|На верхних рисунках.|На всех.||3
130|Какая дорога на перекрестке считается главной?|Дорога с твердым покрытием (асфальтобетон, цементобетон, каменные материалы и т. д.) по отношению к грунтовой.|Трехполосная дорога по отношению к имеющей по одной полосе для каждого направления.|Асфальтобетонная дорога по отношению к плиточной дороге.|||1
